 1417962686.2894	1	3	538426458
 1417962686.2894	24	1	0
 1417962686.2894	25	1	0
 1417962686.2894	26	1	39
 1417962686.2894	27	1	0
 1417962686.2894	28	1	914
 1417962686.2894	29	1	4
 1417962686.2894	30	1	1
 1417962686.2894	31	1	0
 1417962686.2894	32	1	0
 1417962686.2894	75	1	0
 1417962686.2894	63	1	22.67
 1417962686.2894	64	1	4.43
 1417962686.2894	65	1	5
 1417962686.2894	66	1	525
 1417962686.2894	67	1	90
 1417962686.2894	56	1	22
 1417962746.5615	1	3	538426487
 1417962746.5615	64	1	4.52
 1417962746.6441	28	1	914
 1417962746.6441	30	1	1
 1417962806.6441	1	3	538426526
 1417962806.6441	28	1	2043
 1417962806.6441	30	1	2
 1417962816.4667	49	2	1
 1417962846.4116	49	2	0
 1417962866.7421	1	3	538426568
 1417962866.7421	30	1	1
 1417962866.8173	26	1	39
 1417962866.8173	28	1	2043
 1417962877.8763	49	2	1
 1417962908.4741	49	2	0
 1417962926.8173	1	3	538426606
 1417962926.8173	26	1	38
 1417962926.8173	28	1	912
 1417962933.8545	49	2	1
 1417962978.4923	49	2	0
 1417962986.9428	1	3	538426633
 1417962986.9428	28	1	886
 1417963012.9743	70	1	22
 1417963047.0614	1	3	538426666
 1417963047.0614	28	1	2096
 1417963047.1665	30	1	1
 1417963047.1665	66	1	525
 1417963065.5413	39	1	313
 1417963080.6987	49	2	1
 1417963107.1665	1	3	538426707
 1417963107.1665	30	1	2
 1417963107.1665	66	1	403
 1417963107.2612	28	1	2096
 1417963163.5662	49	2	0
 1417963167.2612	1	3	538426748
 1417963167.2612	28	1	387
 1417963167.2612	30	1	1
 1417963189.2964	49	2	1
 1417963227.5122	1	3	538426771
 1417963227.5122	28	1	877
 1417963227.6459	30	1	1
 1417963257.6817	49	2	0
 1417963287.6459	1	3	538426799
 1417963287.6459	30	1	2
 1417963287.74	28	1	877
 1417963287.74	66	1	403
 1417963318.0982	35	1	478
 1417963347.74	1	3	538426842
 1417963347.74	28	1	1998
 1417963347.74	30	1	1
 1417963347.74	66	1	395.5
 1417963371.3651	49	2	1
 1417963407.9283	1	3	538426883
 1417963408.0375	28	1	1998
 1417963409.8035	49	2	0
 1417963425.3909	49	2	1
 1417963468.0375	1	3	538426918
 1417963468.0375	28	1	939
 1417963468.1545	30	1	1
 1417963528.1545	1	3	538426944
 1417963528.1545	30	1	2
 1417963528.2744	28	1	939
 1417963588.2744	1	3	538426991
 1417963588.2744	28	1	2304
 1417963588.4036	30	1	2
 1417963626.3529	49	2	0
 1417963639.7527	49	2	1
 1417963648.4036	1	3	538427042
 1417963648.4036	28	1	2042
 1417963648.4036	30	1	1
 1417963668.9058	58	2	1
 1417963679.9064	71	2	1
 1417963684.5439	41	2	1
 1417963697.7906	23	2	1
 1417963699.3592	23	2	0
 1417963708.5516	1	3	538427081
 1417963708.5516	28	1	858
 1417963708.5516	30	1	2
 1417963708.6603	26	1	38
 1417963727.1856	41	2	0
 1417963768.6603	1	3	538427113
 1417963768.6603	26	1	39
 1417963768.7369	28	1	858
 1417963768.7369	30	1	2
 1417963768.7369	56	1	22
 1417963769.5035	49	2	0
 1417963773.1494	49	2	1
 1417963773.8604	56	1	23
 1417963828.7369	1	3	538427138
 1417963828.7369	28	1	1992
 1417963828.7369	30	1	1
 1417963828.7369	56	1	23
 1417963887.7932	49	2	0
 1417963888.1001	49	2	1
 1417963888.8432	1	3	538427180
 1417963888.8432	28	1	2027
 1417963888.8432	30	1	2
 1417963888.9087	58	2	0
 1417963948.9259	1	3	538427226
 1417963949.0232	28	1	2027
 1417963949.0232	30	1	2
 1417964009.0232	1	3	538427255
 1417964009.0232	28	1	927
 1417964009.0232	30	1	1
 1417964009.1496	66	1	395.5
 1417964009.2608	49	2	0
 1417964038.0934	35	1	494
 1417964069.1496	1	3	538427285
 1417964069.1496	66	1	403.5
 1417964069.2357	28	1	927
 1417964069.2357	63	1	22.67
 1417964073.6586	57	1	23
 1417964129.2357	1	3	538427327
